date, pm25, pm10, o3, no2, so2, co
2018/7/28, 27, 29, 34, 9, 5, 2
2018/7/29, 42, 27, 18, 12, 3, 1
2018/7/30, 37, 19, 25, 17, 9, 2
2018/7/31, 41, 34, 47, 28, 14, 2
2018/8/1, 62, 51, 76, 35, 15, 4
2018/8/2, 81, 54, 79, 24, 9, 3
2018/8/3, 85, 37, 53, 17, 7, 4
2018/8/4, 70, 53, 43, 16, 7, 4
2018/8/5, 80, 51, 35, 18, 5, 3
2018/8/6, 76, 6, 14, 12, 1, 3
2018/8/7, 16, 10, 12, 8, 1, 2
2018/8/8, 11, 20, 28, 12, 4, 3
2018/8/9, 34, 38, 30, 21, 8, 3
2018/8/10, 61, 35, 24, 21, 17, 2
2018/8/11, 59, 33, 35, 14, 7, 3
2018/8/12, 59, 29, 17, 18, 6, 3
2018/8/13, 48, 17, 14, 10, 5, 2
2018/8/14, 33, 16, 12, 7, 5, 1
2018/8/15, 29, 21, 11, 6, 3, 2
2018/8/16, 36, 10, 25, 5, 1, 1
2018/8/17, 16, 10, 31, 11, 5, 1
2018/8/18, 27, 11, 38, 10, 4, 2
2018/8/19, 29, 13, 25, 17, 2, 3
2018/8/20, 34, 29, 10, 18, 6, 2
2018/8/21, 51, 28, 6, 10, 6, 2
2018/8/22, 45, 32, 6, 9, 7, 2
2018/8/23, 47, 38, 7, 8, 3, 2
2018/8/24, 53, 31, 20, 12, 11, 2
2018/8/25, 50, 36, 51, 26, 13, 3
2018/8/26, 64, 34, 59, 23, 9, 3
2018/8/27, 65, 30, 46, 18, 6, 4
2018/8/28, 56, 26, 23, 17, 5, 3
2018/8/29, 55, 29, 21, 18, 5, 3
2018/8/30, 58, 26, 29, 15, 4, 2
2018/8/31, 53, 21, 23, 17, 5, 3
2018/9/1, 44, 12, 29, 7, 1, 2
2018/9/2, 25, 19, 13, 23, 5, 5
2018/9/3, 46, 28, 7, 10, 5, 2
2018/9/4, 45, 30, 36, 8, 1, 3
2018/9/5, 56, 30, 39, 11, 3, 3
2018/9/6, 70, 18, 29, 8, 2, 2
2018/9/7, 41, 17, 9, 6, 5, 2
2018/9/8, 35, 16, 10, 8, 6, 2
2018/9/9, 35, 12, 5, 12, 7, 3
2018/9/10, 27, 8, 31, 9, , 3
2018/9/11, 19, 11, 29, 11, 1, 3
2018/9/12, 31, 17, 29, 18, 3, 4
2018/9/13, 43, 19, 18, 27, 8, 4
2018/9/14, 43, 11, 27, 20, 3, 4
2018/9/15, 25, 16, 40, 13, 7, 3
2018/9/16, 41, 25, 52, 10, 3, 4
2018/9/17, 57, 14, 35, 19, 4, 3
2018/9/18, 33, 12, 32, 14, 4, 3
2018/9/19, 31, 12, 23, 20, 2, 3
2018/9/20, 32, 5, 23, 13, , 2
2018/9/21, 11, 17, 17, 34, 8, 5
2018/9/22, 38, 14, 36, 11, 2, 3
2018/9/23, 35, 15, 31, 12, 1, 3
2018/9/24, 35, 12, 24, 17, 2, 3
2018/9/25, 28, 10, 22, 14, 1, 3
2018/9/26, 23, 8, 21, 18, 1, 3
2018/9/27, 22, 12, 31, 25, 5, 4
2018/9/28, 38, 17, 15, 28, 5, 4
2018/9/29, 48, 12, 24, 10, 2, 2
2018/9/30, 29, 23, 38, 10, 1, 2
2018/4/1, 60, 30, 45, 20, 3, 
2018/4/2, 76, 43, 38, 27, 13, 
2018/4/3, 97, 56, 43, 34, 8, 
2018/4/4, 123, 15, 32, 14, 3, 
2018/4/5, 45, 37, 32, 16, 4, 
2018/4/6, 80, 21, 43, 7, 2, 
2018/4/7, 48, 23, 42, 9, 3, 
2018/4/8, 61, 18, 42, 12, 4, 
2018/4/9, 57, 17, 42, 17, 5, 
2018/4/10, 58, 24, 38, 14, 6, 
2018/4/11, 67, 23, 32, 26, 5, 
2018/4/12, 64, 15, 39, 11, 2, 
2018/4/13, 51, 16, 41, 16, 3, 
2018/4/14, 45, 19, 41, 8, 1, 
2018/4/15, 44, 27, 37, 11, 3, 
2018/4/16, 62, 17, 29, 22, 1, 
2018/4/17, 46, 18, 27, 22, , 
2018/4/18, 43, 19, 38, 30, 7, 
2018/4/19, 59, 27, 54, 22, 7, 
2018/4/20, 74, 36, 54, 39, 14, 
2018/4/21, 88, 41, 67, 30, 11, 
2018/4/22, 100, 37, 46, 19, 4, 
2018/4/23, 87, 25, 31, 20, 5, 
2018/4/24, 66, 27, 22, 28, 7, 
2018/4/25, 50, 9, 37, 16, 6, 
2018/4/26, 34, 16, 31, 29, 8, 
2018/4/27, 50, 20, 53, 14, 5, 
2018/4/28, 63, 25, 55, 11, 5, 
2018/4/29, 68, 21, 44, 12, 6, 
2018/4/30, 64, 27, 57, 28, 10, 
2018/5/1, 74, 33, 37, 31, 12, 
2018/5/2, 84, 23, 42, 9, 3, 
2018/5/3, 54, 12, 47, 5, 1, 
2018/5/4, 40, 21, 53, 13, 6, 
2018/5/5, 62, 27, 54, 14, 5, 
2018/5/6, 72, 14, 45, 13, 3, 
2018/5/7, 42, 11, 36, 11, , 
2018/5/8, 30, 6, 32, 12, , 
2018/5/9, 16, 8, 27, 22, 2, 
2018/5/10, 25, 13, 43, 18, 6, 
2018/5/11, 44, 24, 38, 32, 9, 
2018/5/12, 67, 13, 41, 9, 3, 
2018/5/13, 40, 24, 42, 20, 3, 
2018/5/14, 63, 18, 42, 28, 8, 5
2018/5/15, 57, 19, 48, 17, 5, 3
2018/5/16, 57, 34, 42, 29, 10, 4
2018/5/17, 82, 48, 32, 30, 12, 4
2018/5/18, 98, 21, 32, 10, 2, 3
2018/5/19, 48, 5, 36, 5, 3, 2
2018/5/20, 19, 15, 35, 23, 7, 3
2018/5/21, 53, 16, 42, 24, 8, 5
2018/5/22, 55, 13, 27, 23, 6, 3
2018/5/23, 42, 13, 36, 21, 5, 3
2018/5/24, 39, 26, 36, 33, 11, 3
2018/5/25, 62, 30, 49, 21, 4, 4
2018/5/26, 71, 25, 65, 11, 5, 3
2018/5/27, 63, 21, 31, 22, 10, 3
2018/5/28, 56, 19, 33, 18, 6, 4
2018/5/29, 51, 23, 32, 27, 8, 3
2018/5/30, 57, 17, 32, 19, 5, 3
2018/5/31, 49, 9, 49, 13, 4, 2
2018/6/1, 31, 13, 58, 20, 6, 3
2018/6/2, 44, 15, 57, 12, 5, 3
2018/6/3, 47, 12, 51, 16, 4, 3
2018/6/4, 39, 13, 42, 19, 6, 3
2018/6/5, 43, 18, 36, 23, 5, 3
2018/6/6, 52, 16, 43, 21, 7, 3
2018/6/7, 46, 16, 36, 21, 8, 3
2018/6/8, 46, 20, 60, 20, 7, 3
2018/6/9, 53, 15, 41, 5, 1, 3
2018/6/10, 38, 3, 20, 13, , 3
2018/6/11, 9, 15, 23, 18, 3, 3
2018/6/12, 36, 14, 29, 15, 4, 3
2018/6/13, 42, 12, 28, 13, 3, 2
2018/6/14, 31, 9, 21, 14, 2, 2
2018/6/15, 25, 6, 21, 8, 1, 2
2018/6/16, 16, 10, 30, 9, 7, 2
2018/6/17, 29, 12, 12, 23, 4, 3
2018/6/18, 35, 14, 29, 18, 5, 3
2018/6/19, 39, , 17, 19, 2, 3
2018/6/21, 53, 32, 49, 30, 7, 5
2018/6/22, 76, 36, 25, 30, 6, 5
2018/6/23, 84, 24, 50, 18, 6, 5
2018/6/24, 61, 28, 43, 40, 12, 5
2018/6/25, 70, 28, 43, 18, 4, 3
2018/6/26, 64, 21, 22, 6, 2, 2
2018/6/27, 37, 22, 11, 6, 3, 2
2018/6/28, 47, 22, 8, 7, 4, 2
2018/6/29, 37, 21, 7, 9, 6, 3
2018/6/30, 41, 28, 10, 7, 8, 2
2018/1/1, 22, 6, 27, 8, 4, 
2018/1/2, 19, 6, 27, 5, 2, 
2018/1/3, 15, 4, 27, 6, 2, 
2018/1/4, 14, 9, 20, 19, 1, 
2018/1/5, 32, 15, 18, 27, 6, 
2018/1/6, 51, 7, 29, 9, 3, 
2018/1/7, 21, 16, 16, 24, 5, 
2018/1/8, 54, 20, 23, 25, 3, 
2018/1/9, 55, 12, 26, 12, 2, 
2018/1/10, 39, , 22, 18, 2, 
2018/1/12, 57, 12, 14, 27, 6, 
2018/1/13, 56, 6, 30, 8, 5, 
2018/1/14, 30, 19, 21, 34, 6, 
2018/1/15, 68, 30, 12, 54, 12, 
2018/1/16, 93, 36, 7, 43, 4, 
2018/1/17, 107, 15, 18, 39, 9, 
2018/1/18, 53, 14, 21, 23, 2, 
2018/1/19, 52, 17, 16, 24, 2, 
2018/1/20, 62, 21, 28, 21, 4, 
2018/1/21, 69, 8, 22, 17, 1, 
2018/1/22, 39, 12, 27, 18, 5, 
2018/1/23, 45, 5, 26, 11, 1, 
2018/1/24, 24, 4, 23, 13, 1, 
2018/1/25, 20, 6, 26, 14, 1, 
2018/1/26, 27, 7, 27, 8, 2, 
2018/1/27, 30, 16, 28, 21, 7, 
2018/1/28, 58, 18, 18, 30, 3, 
2018/1/29, 65, 9, 22, 21, 7, 
2018/1/30, 41, 18, 12, 36, 7, 
2018/1/31, 70, 17, 17, 29, 2, 
2018/2/1, 67, 10, 18, 19, 1, 
2018/2/2, 55, 19, 15, 23, 2, 
2018/2/3, 77, 11, 29, 12, 2, 
2018/2/4, 50, 8, 27, 17, 3, 
2018/2/5, 37, 8, 21, 18, 1, 
2018/2/6, 38, 7, 22, 18, 4, 
2018/2/7, 35, 9, 21, 22, 5, 
2018/2/8, 40, 24, 23, 35, 8, 
2018/2/9, 81, 31, 34, 36, 7, 
2018/2/10, 98, 16, 33, 12, 3, 
2018/2/11, 61, 9, 30, 6, 1, 
2018/2/12, 35, 9, 25, 20, 3, 
2018/2/13, 39, 13, 25, 18, 4, 
2018/2/14, 48, 17, 27, 21, 3, 
2018/2/15, 57, 11, 28, 17, 3, 
2018/2/16, 43, 13, 29, 13, 4, 
2018/2/17, 45, 7, 32, 4, 1, 
2018/2/18, 28, 11, 23, 23, 5, 
2018/2/19, 48, 17, 24, 24, 9, 
2018/2/20, 62, 13, 23, 22, 2, 
2018/2/21, 52, 11, 24, 18, 1, 
2018/2/22, 55, 15, 18, 27, 5, 
2018/2/23, 68, 21, 35, 28, 6, 
2018/2/24, 73, 11, 31, 9, 1, 
2018/2/25, 47, 14, 28, 15, 1, 
2018/2/26, 56, 17, 25, 26, 7, 
2018/2/27, 62, 28, 27, 32, 3, 
2018/2/28, 87, 14, 36, 19, 2, 
2018/3/1, 46, 10, 34, 15, 3, 
2018/3/2, 43, 16, 23, 28, 9, 
2018/3/3, 61, 26, 35, 24, 7, 
2018/3/4, 80, 24, 26, 19, 6, 
2018/3/5, 51, 8, 30, 11, 1, 
2018/3/6, 29, 11, 29, 14, 1, 
2018/3/7, 43, 8, 24, 23, 1, 
2018/3/8, 40, 16, 23, 20, 3, 
2018/3/9, 27, 7, 29, 13, 3, 
2018/3/10, 25, 14, 30, 15, 4, 
2018/3/11, 53, 14, 34, 19, 7, 
2018/3/12, 54, 23, 27, 35, 10, 
2018/3/13, 76, 39, 21, 58, 19, 
2018/3/14, 104, 39, 35, 36, 9, 
2018/3/15, 101, 11, 32, 13, 2, 
2018/3/16, 35, 8, 33, 11, 2, 
2018/3/17, 35, 12, 35, 14, 4, 
2018/3/18, 52, 19, 27, 30, 4, 
2018/3/19, 64, 12, 32, 11, 1, 
2018/3/20, 44, 9, 29, 12, 1, 
2018/3/21, 44, 6, 24, 23, 1, 
2018/3/22, 26, 6, 26, 18, 2, 
2018/3/23, 26, 8, 32, 17, 5, 
2018/3/24, 38, 19, 45, 20, 10, 
2018/3/25, 68, 39, 25, 50, 18, 
2018/3/26, 113, 54, 48, 54, 13, 
2018/3/27, 140, 51, 45, 38, 10, 
2018/3/28, 131, 49, 44, 49, 13, 
2018/3/29, 123, 18, 40, 13, 4, 
2018/3/30, 60, 14, 40, 15, 5, 
2018/3/31, 51, 19, 43, 12, 5, 
2017/10/1, 53, 18, 21, 28, 10, 
2017/10/2, 51, 30, 23, 35, 9, 
2017/10/3, 67, 13, 25, 14, 2, 
2017/10/4, 37, 8, 26, 15, 1, 
2017/10/5, 31, 14, 20, 20, 1, 
2017/10/6, 44, 8, 23, 16, , 
2017/10/7, 21, 20, 31, 14, 1, 
2017/10/8, 45, 14, 30, 16, 6, 
2017/10/9, 42, 27, 37, 37, 8, 
2017/10/10, 66, 38, 17, 32, 5, 
2017/10/11, 85, 41, 34, 33, 6, 
2017/10/12, 85, 8, 25, 14, 1, 
2017/10/13, 21, 9, 24, 14, 1, 
2017/10/14, 22, 11, 19, 10, 1, 
2017/10/15, 28, 9, 18, 15, 1, 
2017/10/16, 25, 9, 16, 22, 1, 
2017/10/17, 25, 16, 28, 17, 1, 
2017/10/18, 46, 10, 24, 15, , 
2017/10/19, 28, 6, 21, 15, 4, 
2017/10/20, 16, 6, 13, 17, 1, 
2017/10/21, 12, 4, 25, 7, 1, 
2017/10/22, 8, 13, 32, 7, 1, 
2017/10/23, 23, 13, 21, 17, 1, 
2017/10/24, 43, 17, 19, 20, , 
2017/10/25, 45, 16, 23, 26, 1, 
2017/10/26, 51, 20, 26, 29, , 
2017/10/27, 62, 25, 19, 21, , 
2017/10/28, 67, 11, 22, 13, , 
2017/10/29, 28, 8, 29, 11, , 
2017/10/30, 31, 14, 23, 24, 9, 
2017/10/31, 46, 20, 9, 38, 4, 
2017/11/1, 65, 23, 28, 25, 2, 
2017/11/2, 66, 23, 31, 23, 12, 
2017/11/3, 64, 25, 26, 21, 4, 
2017/11/4, 63, 15, 33, 9, 8, 
2017/11/5, 50, 26, 8, 36, 8, 
2017/11/6, 73, 33, 11, 40, 9, 
2017/11/7, 86, 29, 19, 32, 3, 
2017/11/8, 78, 21, 27, 15, 2, 
2017/11/9, 61, 21, 20, 30, 8, 
2017/11/10, 60, 13, 33, 11, 3, 
2017/11/11, 37, 8, 30, 8, 12, 
2017/11/12, 28, 19, 9, 19, 2, 
2017/11/13, 57, 32, , , 3, 
2017/11/14, 80, 25, 8, 30, 3, 
2017/11/15, 62, 10, 23, 15, 1, 
2017/11/16, 27, 10, 18, 22, 4, 
2017/11/17, 35, 21, 23, 25, 3, 
2017/11/18, 61, 6, 27, 7, 2, 
2017/11/19, 20, 13, 14, 25, 5, 
2017/11/20, 38, 9, 22, 18, 2, 
2017/11/21, 34, 25, 5, 35, 2, 
2017/11/22, 72, 20, 23, 16, 1, 
2017/11/23, 47, 9, 18, 26, 4, 
2017/11/24, 27, 15, 14, 33, 7, 
2017/11/25, 50, 17, 30, 15, 4, 
2017/11/26, 50, 14, 17, 19, 1, 
2017/11/27, 41, 22, 14, 26, 1, 
2017/11/28, 63, 39, 5, 49, 9, 
2017/11/29, 100, 20, 15, 24, 1, 
2017/11/30, 58, 9, 12, 20, 1, 
2017/12/1, 31, 8, 18, 19, 1, 
2017/12/2, 29, 19, 19, 21, 2, 
2017/12/3, 64, 21, 11, 28, 2, 
2017/12/4, 64, 14, 21, 24, 3, 
2017/12/5, 41, 9, 18, 23, 1, 
2017/12/6, 30, 15, 13, 28, 6, 
2017/12/7, 53, 31, 11, 38, 5, 
2017/12/8, 92, 8, 20, 21, 3, 
2017/12/9, 29, 16, 24, 20, 3, 
2017/12/10, 52, 18, 24, 24, 3, 
2017/12/11, 51, 7, 25, 14, 3, 
2017/12/12, 19, 6, 18, 17, 3, 
2017/12/13, 18, 10, 21, 13, 3, 
2017/12/14, 24, 17, 11, 31, 2, 
2017/12/15, 49, 38, 12, 41, 6, 
2017/12/16, 99, 13, 27, 14, 3, 
2017/12/17, 37, 15, 17, 30, 6, 
2017/12/18, 47, 18, 19, 26, 4, 
2017/12/19, 56, 11, 18, 24, 3, 
2017/12/20, 38, 18, 14, 29, 2, 
2017/12/21, 58, 26, 7, 42, 14, 
2017/12/22, 78, 28, 16, 38, 6, 
2017/12/23, 81, 30, 13, 33, 5, 
2017/12/24, 87, 18, 24, 18, 3, 
2017/12/25, 51, 7, 22, 18, 4, 
2017/12/26, 24, 4, 23, 11, 1, 
2017/12/27, 12, 4, 25, 10, 1, 
2017/12/28, 14, 6, 29, 10, 3, 
2017/12/29, 20, 6, 27, 6, 2, 
2017/12/30, 19, 12, 22, 12, 2, 
2017/12/31, 39, 6, 26, 6, 1, 
2017/7/1, 41, 26, 36, 30, 11, 
2017/7/2, 53, 42, 39, 32, 9, 
2017/7/3, 81, 35, 15, 27, 12, 
2017/7/4, 72, 17, 46, 23, 10, 
2017/7/5, 43, 15, 40, 16, 5, 
2017/7/6, 42, 29, 40, 31, 11, 
2017/7/7, 68, 39, 76, 31, 11, 
2017/7/8, 84, 35, 45, 20, 12, 
2017/7/9, 76, 18, 13, 16, 7, 
2017/7/10, 39, 15, 12, 12, 8, 
2017/7/11, 33, 24, 16, 15, 7, 
2017/7/12, 48, 23, 10, 13, 7, 
2017/7/13, 47, 18, 16, 17, 7, 
2017/7/14, 41, 23, 28, 25, 11, 
2017/7/15, 52, 41, 50, 32, 16, 
2017/7/16, 76, 40, 54, 25, 10, 
2017/7/17, 84, 33, 35, 25, 6, 
2017/7/18, 71, 25, 57, 21, 9, 
2017/7/19, 60, 18, 33, 15, 6, 
2017/7/20, 45, 19, 15, 15, 9, 
2017/7/21, 47, 17, 12, 10, 7, 
2017/7/22, 42, 15, 8, 9, 7, 
2017/7/23, 34, 16, 15, 13, 4, 
2017/7/24, 38, 23, 17, 18, 8, 
2017/7/25, 49, 13, 19, 15, 5, 
2017/7/26, 31, 12, 24, 13, 1, 
2017/7/27, 33, 15, 25, 14, 5, 
2017/7/28, 34, 24, 20, 12, 4, 
2017/7/29, 44, 13, 18, 7, 2, 
2017/7/30, 26, 17, 29, 22, 8, 
2017/7/31, 42, 21, 20, 18, 4, 
2017/8/1, 48, 10, 19, 9, , 
2017/8/2, 24, 11, 22, 13, 1, 
2017/8/3, 33, 15, 21, 16, 4, 
2017/8/4, 37, 19, 38, 19, 6, 
2017/8/5, 42, 25, 32, 12, 7, 
2017/8/6, 51, 31, 8, 13, 12, 
2017/8/7, 56, 35, 30, 22, 9, 
2017/8/8, 58, 33, 83, 24, 11, 
2017/8/9, 63, 27, 15, 16, 3, 
2017/8/10, 58, 14, 13, 7, 1, 
2017/8/11, 32, 13, 21, 7, 1, 
2017/8/12, 36, 11, 23, 6, 2, 
2017/8/13, 27, 21, 12, 11, 2, 
2017/8/14, 46, 14, 14, 14, 4, 
2017/8/15, 29, 9, 15, 7, , 
2017/8/16, 15, 10, 17, 13, 2, 
2017/8/17, 23, 23, 18, 22, 5, 
2017/8/18, 53, 23, 23, 16, 4, 
2017/8/19, 46, 12, 25, 9, 2, 
2017/8/20, 30, 18, 38, 18, 5, 
2017/8/21, 44, 33, 14, 23, 16, 
2017/8/22, 60, 28, 42, 34, 11, 
2017/8/23, 68, 31, 47, 32, 10, 
2017/8/24, 69, 46, 39, 38, 12, 
2017/8/25, 85, 39, 55, 24, 6, 
2017/8/26, 75, 18, 37, 6, 1, 
2017/8/27, 47, 20, 36, 18, 4, 
2017/8/28, 50, 24, 12, 17, 9, 
2017/8/29, 54, 26, 19, 16, 5, 
2017/8/30, 56, 12, 31, 10, , 
2017/8/31, 27, 9, 32, 9, 1, 
2017/9/1, 25, 8, 29, 8, , 
2017/9/2, 20, 16, 30, 18, 12, 
2017/9/3, 42, 17, 16, 18, 2, 
2017/9/4, 42, 16, 31, 17, 1, 
2017/9/5, 43, 17, 14, 21, 2, 
2017/9/6, 42, , , , , 
2017/9/11, 42, 17, 17, 20, 6, 
2017/9/12, 30, 13, 30, 21, 4, 
2017/9/13, 33, 18, 43, 19, 3, 
2017/9/14, 47, 13, 31, 15, 5, 
2017/9/15, 38, 13, 22, 12, 2, 
2017/9/16, 34, 8, 22, 9, 1, 
2017/9/17, 15, 20, 30, 12, 3, 
2017/9/18, 36, 17, 34, 20, 6, 
2017/9/19, 44, 29, 37, 30, 6, 
2017/9/20, 67, 19, 40, 21, 9, 
2017/9/21, 52, 18, 28, 26, 6, 
2017/9/22, 46, 12, 35, 8, , 
2017/9/23, 24, 16, 41, 16, 6, 
2017/9/24, 41, 18, 32, 27, 6, 
2017/9/25, 50, 20, 31, 28, 8, 
2017/9/26, 54, 19, 28, 23, 9, 
2017/9/27, 54, 10, 23, 18, 3, 
2017/9/28, 23, 13, 29, 20, 6, 
2017/9/29, 36, 18, 31, 22, 2, 
2017/9/30, 51, 18, 43, 14, 5, 
2017/4/1, 42, 11, 40, 7, 1, 
2017/4/2, 42, 15, 34, 19, 4, 
2017/4/3, 52, 19, 37, 23, 5, 
2017/4/4, 64, 24, 45, 23, 7, 
2017/4/5, 70, 21, 42, 13, 4, 
2017/4/6, 57, 21, 35, 14, 3, 
2017/4/7, 48, 15, 25, 22, 2, 
2017/4/8, 40, 26, 35, 16, 1, 
2017/4/9, 66, 14, 33, 16, 6, 
2017/4/10, 50, 13, 23, 26, 1, 
2017/4/11, 47, 7, 40, 17, 2, 
2017/4/12, 27, 19, 39, 22, 7, 
2017/4/13, 58, 25, 39, 32, 9, 
2017/4/14, 69, 26, 56, 12, 3, 
2017/4/15, 66, 30, 39, 32, 7, 
2017/4/16, 75, 33, 26, 43, 9, 
2017/4/17, 78, 25, 30, 20, 5, 
2017/4/18, 48, 18, 46, 17, 6, 
2017/4/19, 50, 15, 37, 16, 4, 
2017/4/20, 52, 19, 24, 37, 9, 
2017/4/21, 61, 28, 41, 19, 2, 
2017/4/22, 73, 10, 41, 6, 2, 
2017/4/23, 34, 13, 35, 19, 4, 
2017/4/24, 44, 14, 38, 16, 5, 
2017/4/25, 47, 15, 33, 17, 5, 
2017/4/26, 45, 12, 37, 21, 3, 
2017/4/27, 39, 16, 38, 25, 6, 
2017/4/28, 53, 20, 54, 16, 5, 
2017/4/29, 60, 23, 58, 19, 5, 
2017/4/30, 66, 25, 41, 29, 3, 
2017/5/1, 64, 11, 39, 15, 6, 
2017/5/2, 41, 13, 39, 17, 7, 
2017/5/3, 42, 15, 42, 11, 5, 
2017/5/4, 44, 21, 39, 16, 6, 
2017/5/5, 56, 25, 34, 16, 5, 
2017/5/6, 63, 27, 44, 8, 2, 
2017/5/7, 62, 49, 39, 37, 11, 
2017/5/8, 99, 26, 39, 23, 5, 
2017/5/9, 64, 24, 28, 31, 4, 
2017/5/10, 59, 21, 36, 36, 7, 
2017/5/11, 59, 28, 46, 23, 3, 
2017/5/12, 70, 33, 42, 18, 4, 
2017/5/13, 71, 6, 39, 4, , 
2017/5/14, 14, 17, 33, 20, 5, 
2017/5/15, 44, 21, 36, 19, 6, 
2017/5/16, 60, 14, 31, 13, 2, 
2017/5/17, 39, 16, 32, 21, 2, 
2017/5/18, 47, 34, 55, 34, 7, 
2017/5/19, 83, 37, 59, 30, 10, 
2017/5/20, 91, 39, 79, 26, 10, 
2017/5/21, 96, 25, 34, 28, 11, 
2017/5/22, 66, 16, 33, 19, 8, 
2017/5/23, 49, 14, 32, 19, 6, 
2017/5/24, 41, 15, 27, 25, 5, 
2017/5/25, 41, 17, 25, 24, 1, 
2017/5/26, 51, 22, 38, 20, 5, 
2017/5/27, 57, 16, 51, 10, 4, 
2017/5/28, 48, 22, 39, 21, 10, 
2017/5/29, 64, 26, 38, 28, 10, 
2017/5/30, 66, 33, 31, 23, 9, 
2017/5/31, 79, 19, 32, 30, 8, 
2017/6/1, 45, 20, 48, 17, 5, 
2017/6/2, 49, 11, 46, 12, 4, 
2017/6/3, 34, 8, 43, 5, 3, 
2017/6/4, 27, 11, 38, 13, 4, 
2017/6/5, 35, 13, 36, 17, 6, 
2017/6/6, 39, 14, 31, 17, 5, 
2017/6/7, 40, 13, 28, 19, 6, 
2017/6/8, 37, 14, 38, 18, 3, 
2017/6/9, 39, 24, 66, 14, 4, 
2017/6/10, 60, 15, 40, 7, 2, 
2017/6/11, 45, 12, 36, 15, 5, 
2017/6/12, 38, 13, 24, 19, 1, 
2017/6/13, 40, 14, 36, 16, 5, 
2017/6/14, 40, 16, 41, 20, 4, 
2017/6/15, 47, 23, 54, 22, 4, 
2017/6/16, 63, 10, 40, 9, 1, 
2017/6/17, 32, 14, 35, 6, 1, 
2017/6/18, 38, 12, 43, 13, 4, 
2017/6/19, 32, , 36, 21, 7, 
2017/6/21, 44, 17, 43, 20, 6, 
2017/6/22, 45, 31, 73, 38, 13, 
2017/6/23, 71, 21, 35, 24, 12, 
2017/6/24, 57, 21, 24, 17, 4, 
2017/6/25, 48, 18, 32, 21, 6, 
2017/6/26, 48, 23, 29, 22, 5, 
2017/6/27, 58, 33, 23, 35, 8, 
2017/6/28, 75, 33, 40, 32, 13, 
2017/6/29, 81, 18, 25, 20, 6, 
2017/6/30, 46, 17, 26, 21, 2, 
2017/1/2, 55, 13, 34, 13, 2, 
2017/1/3, 44, 18, 31, 18, 7, 
2017/1/4, 53, 9, 28, , 2, 
2017/1/5, 28, 8, , 30, 2, 
2017/1/6, 23, 18, 4, 34, 2, 
2017/1/7, 58, 21, 20, 20, 1, 
2017/1/8, 64, 5, 28, 14, 6, 
2017/1/9, 15, 10, 22, 27, 7, 
2017/1/10, 27, 7, 23, 20, 4, 
2017/1/11, 19, 8, 21, 28, 3, 
2017/1/12, 26, 12, 23, 23, 4, 
2017/1/13, 37, 6, 22, 17, 2, 
2017/1/14, 25, 4, 25, 7, 2, 
2017/1/15, 14, 6, 20, 19, 2, 
2017/1/16, 19, , 21, 20, 3, 
2017/1/18, 54, 16, 24, 22, 2, 
2017/1/19, 54, 25, 21, 27, 1, 
2017/1/20, 79, 12, 30, 12, 2, 
2017/1/21, 39, 21, 25, 22, 3, 
2017/1/22, 70, 8, 29, 9, 5, 
2017/1/23, 29, 7, 27, 12, 1, 
2017/1/24, 25, 7, 27, 14, 5, 
2017/1/25, 28, 13, 22, 32, 9, 
2017/1/26, 46, 17, 28, 27, 4, 
2017/1/27, 51, 12, 24, 26, 5, 
2017/1/28, 44, 19, 25, 24, 4, 
2017/1/29, 61, 22, 28, 27, 4, 
2017/1/30, 64, 8, 28, 12, 1, 
2017/1/31, 26, 13, 24, 25, 2, 
2017/2/1, 46, 9, 29, 12, 3, 
2017/2/2, 26, 10, 27, 18, 4, 
2017/2/3, 35, 13, 30, 21, 7, 
2017/2/4, 43, 22, 20, 30, 5, 
2017/2/5, 71, 18, 33, 18, 3, 
2017/2/6, 54, 10, 32, 9, 4, 
2017/2/7, 29, 7, 28, 13, 2, 
2017/2/8, 20, 14, 15, 27, 1, 
2017/2/9, 60, 10, 29, 16, 1, 
2017/2/10, 41, 7, 31, 9, 1, 
2017/2/11, 22, 5, 32, 6, 2, 
2017/2/12, 19, 7, 27, 11, 2, 
2017/2/13, 22, 8, 29, 11, 3, 
2017/2/14, 26, 10, 28, 19, 5, 
2017/2/15, 38, 19, 24, 32, 8, 
2017/2/16, 63, 24, 34, 22, 2, 
2017/2/17, 59, 11, 32, 16, 2, 
2017/2/18, 34, 9, 34, 10, 4, 
2017/2/19, 30, 23, 36, 22, 3, 
2017/2/20, 62, 8, 34, 8, 2, 
2017/2/21, 23, 12, 29, 21, 7, 
2017/2/22, 40, 18, 32, 21, 2, 
2017/2/23, 50, 9, 33, 10, 1, 
2017/2/24, 28, 12, 28, 21, 5, 
2017/2/25, 45, 13, 35, 14, 4, 
2017/2/26, 48, 11, 31, 15, 1, 
2017/2/27, 40, 12, 29, 15, 2, 
2017/2/28, 40, 20, 28, 27, 7, 
2017/3/1, 68, 27, 15, 30, 1, 
2017/3/2, 92, 14, 31, 21, 4, 
2017/3/3, 47, 16, 28, 31, 11, 
2017/3/4, 52, 27, 39, 23, 5, 
2017/3/5, 76, 34, 19, 37, 5, 
2017/3/6, 97, 10, 32, 19, 3, 
2017/3/7, 34, 15, 23, 33, 6, 
2017/3/8, 51, 14, 25, 30, 8, 
2017/3/9, 49, 13, 33, 19, 3, 
